! S-parameter export from FEKO
!   Filename:      SKALAoriginal_1antenna_SParameter1.s2p
!   Creation date: 2023-06-15 13:15:11
! 
! %Port labels%2
! %Port1
! %Port2
! 
# Hz S MA R  5.00000E+01
! 
!     FREQ          |S11|        <S11       |S21|        <S21       |S12|        <S12       |S22|        <S22
 2.1200000E+08  1.9955231E-01   66.645  3.2426459E-03 -125.920  5.6030512E-03  163.897  1.5237334E-01   66.507
 2.1300000E+08  2.2338186E-01   64.026  3.2339119E-03 -135.611  5.3409730E-03  158.458  1.7713664E-01   64.216
 2.1400000E+08  2.4503368E-01   60.901  3.1904810E-03 -144.714  5.0739296E-03  153.167  2.0014170E-01   61.152
 2.1500000E+08  2.6427034E-01   57.476  3.1556592E-03 -153.025  4.8064909E-03  148.331  2.2107053E-01   57.639
 2.1600000E+08  2.8099344E-01   53.872  3.1030542E-03 -161.048  4.5587034E-03  143.479  2.3969672E-01   53.873
 2.1700000E+08  2.9513246E-01   50.180  3.0442609E-03 -168.339  4.3050427E-03  139.251  2.5594846E-01   49.968
 2.1800000E+08  3.0669092E-01   46.452  2.9801781E-03 -175.301  4.0710894E-03  135.121  2.6979120E-01   45.998
 2.1900000E+08  3.1570990E-01   42.721  2.9059425E-03  178.530  3.8323096E-03  131.276  2.8122780E-01   42.011
 2.2000000E+08  3.2228898E-01   39.013  2.8568946E-03  172.419  3.6246901E-03  128.070  2.9028386E-01   38.035
 2.2100000E+08  3.2648453E-01   35.353  2.8107150E-03  167.106  3.4222861E-03  125.054  2.9705030E-01   34.094
 2.2200000E+08  3.2838987E-01   31.749  2.7569356E-03  162.028  3.2469543E-03  122.639  3.0157729E-01   30.205
 2.2300000E+08  3.2813313E-01   28.214  2.7310146E-03  157.461  3.0984578E-03  120.689  3.0396967E-01   26.377
 2.2400000E+08  3.2579450E-01   24.760  2.6967577E-03  152.789  2.9679916E-03  118.813  3.0432460E-01   22.619
 2.2500000E+08  3.2153108E-01   21.395  2.6951080E-03  148.454  2.8765229E-03  117.428  3.0276664E-01   18.942
 2.2600000E+08  3.1545827E-01   18.136  2.6941704E-03  144.117  2.8113134E-03  116.065  2.9939792E-01   15.351
 2.2700000E+08  3.0768832E-01   14.994  2.7127974E-03  139.942  2.7752820E-03  114.827  2.9432016E-01   11.858
 2.2800000E+08  2.9837038E-01   11.983  2.7417054E-03  135.416  2.7596180E-03  113.432  2.8768115E-01    8.476
 2.2900000E+08  2.8773098E-01    9.140  2.7865189E-03  131.168  2.7644916E-03  112.491  2.7963718E-01    5.229
 2.3000000E+08  2.7595194E-01    6.400  2.8544241E-03  125.992  2.8819979E-03  109.688  2.7059699E-01    2.046
 2.3100000E+08  2.6273599E-01    3.892  2.9053366E-03  121.249  2.9126231E-03  107.454  2.5987982E-01   -0.975
 2.3200000E+08  2.4871133E-01    1.645  2.9813640E-03  116.023  2.9963012E-03  104.698  2.4823659E-01   -3.796
 2.3300000E+08  2.3402022E-01   -0.314  3.0508290E-03  110.446  3.0918596E-03  101.334  2.3581249E-01   -6.418
 2.3400000E+08  2.1892103E-01   -1.945  3.1289179E-03  104.741  3.1935487E-03   97.567  2.2274582E-01   -8.817
 2.3500000E+08  2.0358751E-01   -3.189  3.2056151E-03   98.726  3.3023507E-03   93.148  2.0922055E-01  -10.959
 2.3600000E+08  1.8825340E-01   -3.978  3.2732587E-03   92.658  3.4015996E-03   88.743  1.9541411E-01  -12.807
 2.3700000E+08  1.7320626E-01   -4.236  3.3468307E-03   86.305  3.5033096E-03   83.809  1.8150036E-01  -14.330
 2.3800000E+08  1.5864910E-01   -3.867  3.4251320E-03   79.770  3.6096614E-03   78.333  1.6764282E-01  -15.462
 2.3900000E+08  1.4487623E-01   -2.775  3.4860227E-03   73.134  3.6958680E-03   72.876  1.5403234E-01  -16.150
 2.4000000E+08  1.3214241E-01   -0.859  3.5496221E-03   66.390  3.7845551E-03   67.142  1.4083892E-01  -16.339
 2.4100000E+08  1.2071068E-01    1.966  3.6139196E-03   59.549  3.8732005E-03   61.262  1.2823638E-01  -15.962
 2.4200000E+08  1.1086777E-01    5.731  3.6668536E-03   52.760  3.9458786E-03   55.334  1.1635352E-01  -14.927
 2.4300000E+08  1.0280412E-01   10.437  3.7317663E-03   45.859  4.0254075E-03   49.253  1.0534595E-01  -13.172
 2.4400000E+08  9.6700339E-02   15.949  3.7866408E-03   39.087  4.0952921E-03   43.207  9.5326429E-02  -10.601
 2.4500000E+08  9.2600862E-02   22.041  3.8469538E-03   32.238  4.1647746E-03   37.089  8.6405060E-02   -7.155
 2.4600000E+08  9.0452637E-02   28.407  3.9001674E-03   25.343  4.2210354E-03   30.738  7.8655671E-02   -2.756
 2.4700000E+08  9.0067125E-02   34.713  3.9586322E-03   18.499  4.2920475E-03   24.487  7.2170833E-02    2.576
 2.4800000E+08  9.1215854E-02   40.733  4.0175135E-03   11.710  4.3541945E-03   18.227  6.6999667E-02    8.835
 2.4900000E+08  9.3631960E-02   46.303  4.0952375E-03    5.008  4.4350569E-03   11.972  6.3180970E-02   15.934
 2.5000000E+08  9.7115657E-02   51.348  4.1610630E-03   -1.717  4.4985876E-03    5.684  6.0739420E-02   23.663
 2.5100000E+08  1.0147524E-01   55.881  4.2222155E-03   -8.453  4.5644229E-03   -0.657  5.9752294E-02   31.831
 2.5200000E+08  1.0665120E-01   59.931  4.3079748E-03  -14.989  4.6383328E-03   -6.931  6.0227746E-02   40.072
 2.5300000E+08  1.1255738E-01   63.532  4.3866171E-03  -21.606  4.7141761E-03  -13.332  6.2166716E-02   48.065
 2.5400000E+08  1.1921870E-01   66.713  4.4763928E-03  -28.066  4.7986999E-03  -19.537  6.5574381E-02   55.504
 2.5500000E+08  1.2668999E-01   69.509  4.5672506E-03  -34.574  4.8789605E-03  -26.033  7.0422569E-02   62.176
 2.5600000E+08  1.3510832E-01   71.770  4.6472819E-03  -40.939  4.9564612E-03  -32.135  7.6901243E-02   67.731
 2.5700000E+08  1.4386808E-01   73.719  4.7606994E-03  -47.416  5.0540439E-03  -38.453  8.4161537E-02   72.318
 2.5800000E+08  1.5356951E-01   75.296  4.8539914E-03  -53.825  5.1407279E-03  -44.765  9.2744686E-02   76.039
 2.5900000E+08  1.6402648E-01   76.476  4.9566841E-03  -60.264  5.2307362E-03  -51.160  1.0239605E-01   78.838
 2.6000000E+08  1.7516472E-01   77.274  5.0446575E-03  -66.615  5.3076465E-03  -57.500  1.1298860E-01   80.831
 2.6100000E+08  1.8687621E-01   77.696  5.1422770E-03  -72.890  5.4005246E-03  -63.873  1.2432142E-01   82.095
 2.6200000E+08  1.9903050E-01   77.777  5.2372837E-03  -79.176  5.4802828E-03  -70.218  1.3631646E-01   82.732
