central_frequency,tiling,beam_fwhm,beam_name,ra,dec
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2334-8051,353.57142857142856,-80.85741046919011
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0000-7901,0.0,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0043-7901,10.909090909090908,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0127-7901,21.818181818181817,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0210-7901,32.72727272727273,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0254-7901,43.63636363636363,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0338-7901,54.54545454545455,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0421-7901,65.45454545454545,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0505-7901,76.36363636363636,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0549-7901,87.27272727272727,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0632-7901,98.18181818181817,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0716-7901,109.0909090909091,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0800-7901,119.99999999999999,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0843-7901,130.9090909090909,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0927-7901,141.81818181818184,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1010-7901,152.72727272727272,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1054-7901,163.63636363636363,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1138-7901,174.54545454545453,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1221-7901,185.45454545454547,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1305-7901,196.36363636363635,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1349-7901,207.27272727272725,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1432-7901,218.1818181818182,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1516-7901,229.09090909090912,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1600-7901,239.99999999999997,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1643-7901,250.9090909090909,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1727-7901,261.8181818181818,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1810-7901,272.72727272727275,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1854-7901,283.6363636363637,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1938-7901,294.5454545454545,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2021-7901,305.45454545454544,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2105-7901,316.3636363636364,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2149-7901,327.27272727272725,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2232-7901,338.1818181818182,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2316-7901,349.09090909090907,-79.02889256302814
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0018-7712,4.7368421052631575,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0056-7712,14.210526315789473,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0134-7712,23.68421052631579,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0212-7712,33.1578947368421,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0250-7712,42.63157894736842,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0328-7712,52.10526315789474,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0406-7712,61.57894736842105,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0444-7712,71.05263157894737,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0522-7712,80.52631578947368,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0600-7712,90.0,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0637-7712,99.47368421052632,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0715-7712,108.94736842105262,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0753-7712,118.42105263157895,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0831-7712,127.89473684210527,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0909-7712,137.36842105263156,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0947-7712,146.8421052631579,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1025-7712,156.3157894736842,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1103-7712,165.78947368421055,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1141-7712,175.26315789473682,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1218-7712,184.73684210526315,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1256-7712,194.21052631578945,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1334-7712,203.68421052631578,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1412-7712,213.15789473684208,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1450-7712,222.63157894736838,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1528-7712,232.10526315789474,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1606-7712,241.57894736842107,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1644-7712,251.05263157894743,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1722-7712,260.5263157894737,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1800-7712,270.0,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1837-7712,279.47368421052636,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1915-7712,288.94736842105266,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1953-7712,298.4210526315789,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2031-7712,307.89473684210526,-77.20037465686616
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2109-7712,317.3684210526316,-77.20037465686616
